                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.07634,                0.87755,                      1,                0.30959,             0.00044846,             0.00044846,             0.00044846
                     24,                0.09442,                0.85714,                      1,                0.35645,              0.0004268,              0.0004268,              0.0004268
                     25,                0.04186,                0.89796,                      1,                 0.3135,             0.00040487,             0.00040487,             0.00040487
                     26,                0.03873,                0.93878,                      1,                 0.3022,             0.00038276,             0.00038276,             0.00038276
                     27,                0.05799,                0.91837,                      1,                0.30435,             0.00036057,             0.00036057,             0.00036057
                     28,                0.03106,                0.91837,                      1,                0.29843,             0.00033838,             0.00033838,             0.00033838
                     29,                0.03441,                0.91837,                      1,                0.29112,             0.00031627,             0.00031627,             0.00031627
                     30,                0.03269,                0.89796,                      1,                0.30348,             0.00029434,             0.00029434,             0.00029434
                     31,                0.03865,                0.91837,                      1,                0.29794,             0.00027268,             0.00027268,             0.00027268
                     32,                0.02964,                0.91837,                      1,                0.30652,             0.00025135,             0.00025135,             0.00025135
                     33,                0.02257,                0.87755,                      1,                0.31443,             0.00023046,             0.00023046,             0.00023046
                     34,                0.04742,                0.87755,                      1,                0.31314,             0.00021009,             0.00021009,             0.00021009
                     35,                0.02552,                0.89796,                      1,                0.30666,              0.0001903,              0.0001903,              0.0001903
                     36,                0.02029,                0.93878,                      1,                0.29268,             0.00017119,             0.00017119,             0.00017119
                     37,                0.03733,                0.89796,                      1,                0.29585,             0.00015283,             0.00015283,             0.00015283
                     38,                 0.0241,                0.91837,                      1,                0.30942,             0.00013529,             0.00013529,             0.00013529
                     39,                0.02606,                0.91837,                      1,                0.31233,             0.00011863,             0.00011863,             0.00011863
                     40,                0.01267,                0.91837,                      1,                0.31078,             0.00010293,             0.00010293,             0.00010293
                     41,                0.05282,                0.91837,                      1,                0.30699,             8.8248e-05,             8.8248e-05,             8.8248e-05
                     42,                0.01542,                0.91837,                      1,                0.30316,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     43,                0.04933,                0.91837,                      1,                0.30265,             6.2159e-05,             6.2159e-05,             6.2159e-05
                     44,                0.01664,                0.91837,                      1,                0.30753,             5.0857e-05,             5.0857e-05,             5.0857e-05
                     45,                0.01461,                0.91837,                      1,                0.30413,             4.0777e-05,             4.0777e-05,             4.0777e-05
                     46,                 0.0253,                0.91837,                      1,                0.30241,             3.1959e-05,             3.1959e-05,             3.1959e-05
                     47,                0.01169,                0.91837,                      1,                0.30232,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     48,                0.02152,                0.91837,                      1,                0.29548,             1.8244e-05,             1.8244e-05,             1.8244e-05
                     49,                0.01155,                0.91837,                      1,                0.29254,               1.34e-05,               1.34e-05,               1.34e-05
                     50,                0.03142,                0.93878,                      1,                 0.2889,             9.9269e-06,             9.9269e-06,             9.9269e-06
                      1,                0.39501,                0.46939,                      1,                0.56493,               7.14e-05,               7.14e-05,               7.14e-05
                      2,                 0.3841,                0.55102,                      1,                0.51557,             0.00014979,             0.00014979,             0.00014979
                      3,                0.30263,                0.67347,                      1,                 0.4867,             0.00022759,             0.00022759,             0.00022759
                      4,                0.20969,                0.71429,                      1,                0.43069,             0.00030433,             0.00030433,             0.00030433
                      5,                 0.1917,                0.71429,                      1,                0.41534,             0.00037956,             0.00037956,             0.00037956
                      6,                0.17428,                0.83673,                      1,                0.35797,             0.00045286,             0.00045286,             0.00045286
                      7,                0.15134,                0.83673,                      1,                0.38434,             0.00052378,             0.00052378,             0.00052378
                      8,                0.12514,                0.85714,                      1,                0.38454,             0.00059192,             0.00059192,             0.00059192
                      9,                0.10896,                0.81633,                      1,                0.37903,             0.00065688,             0.00065688,             0.00065688
                     10,                0.08643,                0.79592,                      1,                0.38116,             0.00065898,             0.00065898,             0.00065898
                     11,                0.12592,                0.85714,                      1,                 0.3489,             0.00065898,             0.00065898,             0.00065898
                     12,                0.12447,                0.81633,                      1,                 0.3531,              0.0006465,              0.0006465,              0.0006465
                     13,                0.12785,                0.83673,                      1,                0.36452,             0.00063289,             0.00063289,             0.00063289
                     14,                0.09057,                0.83673,                      1,                0.34519,             0.00061821,             0.00061821,             0.00061821
                     15,                0.10876,                0.89796,                      1,                0.33573,             0.00060251,             0.00060251,             0.00060251
                     16,                0.11549,                0.89796,                      1,                0.31861,             0.00058585,             0.00058585,             0.00058585
                     17,                0.07836,                0.89796,                      1,                0.33122,             0.00056831,             0.00056831,             0.00056831
                     18,                0.05977,                0.89796,                      1,                0.32748,             0.00054995,             0.00054995,             0.00054995
                     19,                0.08517,                0.91837,                      1,                0.30915,             0.00053084,             0.00053084,             0.00053084
                     20,                 0.0731,                0.91837,                      1,                0.30114,             0.00051105,             0.00051105,             0.00051105
                     21,                0.04184,                0.91837,                      1,                0.29909,             0.00049068,             0.00049068,             0.00049068
                     22,                0.05417,                0.89796,                      1,                0.30334,             0.00046979,             0.00046979,             0.00046979
                     23,                0.07634,                0.87755,                      1,                0.30959,             0.00044846,             0.00044846,             0.00044846
                     24,                0.09442,                0.85714,                      1,                0.35645,              0.0004268,              0.0004268,              0.0004268
                     25,                0.04186,                0.89796,                      1,                 0.3135,             0.00040487,             0.00040487,             0.00040487
                     26,                0.03873,                0.93878,                      1,                 0.3022,             0.00038276,             0.00038276,             0.00038276
                     27,                0.05799,                0.91837,                      1,                0.30435,             0.00036057,             0.00036057,             0.00036057
                     28,                0.03106,                0.91837,                      1,                0.29843,             0.00033838,             0.00033838,             0.00033838
                     29,                0.03441,                0.91837,                      1,                0.29112,             0.00031627,             0.00031627,             0.00031627
                     30,                0.03269,                0.89796,                      1,                0.30348,             0.00029434,             0.00029434,             0.00029434
                     31,                0.03865,                0.91837,                      1,                0.29794,             0.00027268,             0.00027268,             0.00027268
                     32,                0.02964,                0.91837,                      1,                0.30652,             0.00025135,             0.00025135,             0.00025135
                     33,                0.02257,                0.87755,                      1,                0.31443,             0.00023046,             0.00023046,             0.00023046
                     34,                0.04742,                0.87755,                      1,                0.31314,             0.00021009,             0.00021009,             0.00021009
                     35,                0.02552,                0.89796,                      1,                0.30666,              0.0001903,              0.0001903,              0.0001903
                     36,                0.02029,                0.93878,                      1,                0.29268,             0.00017119,             0.00017119,             0.00017119
                     37,                0.03733,                0.89796,                      1,                0.29585,             0.00015283,             0.00015283,             0.00015283
                     38,                 0.0241,                0.91837,                      1,                0.30942,             0.00013529,             0.00013529,             0.00013529
                     39,                0.02606,                0.91837,                      1,                0.31233,             0.00011863,             0.00011863,             0.00011863
                     40,                0.01267,                0.91837,                      1,                0.31078,             0.00010293,             0.00010293,             0.00010293
                     41,                0.05282,                0.91837,                      1,                0.30699,             8.8248e-05,             8.8248e-05,             8.8248e-05
                     42,                0.01542,                0.91837,                      1,                0.30316,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     43,                0.04933,                0.91837,                      1,                0.30265,             6.2159e-05,             6.2159e-05,             6.2159e-05
                     44,                0.01664,                0.91837,                      1,                0.30753,             5.0857e-05,             5.0857e-05,             5.0857e-05
                     45,                0.01461,                0.91837,                      1,                0.30413,             4.0777e-05,             4.0777e-05,             4.0777e-05
                     46,                 0.0253,                0.91837,                      1,                0.30241,             3.1959e-05,             3.1959e-05,             3.1959e-05
                     47,                0.01169,                0.91837,                      1,                0.30232,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     48,                0.02152,                0.91837,                      1,                0.29548,             1.8244e-05,             1.8244e-05,             1.8244e-05
                     49,                0.01155,                0.91837,                      1,                0.29254,               1.34e-05,               1.34e-05,               1.34e-05
                     50,                0.03142,                0.93878,                      1,                 0.2889,             9.9269e-06,             9.9269e-06,             9.9269e-06
