                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                0.14038,                0.77551,                      1,                0.40036,             0.00061821,             0.00061821,             0.00061821
                     15,                0.13102,                0.81633,                      1,                0.38281,             0.00060251,             0.00060251,             0.00060251
                     16,                0.09985,                0.81633,                      1,                0.37063,             0.00058585,             0.00058585,             0.00058585
                     17,                0.10326,                0.85714,                      1,                0.36444,             0.00056831,             0.00056831,             0.00056831
                     18,                0.09888,                0.89796,                      1,                0.35048,             0.00054995,             0.00054995,             0.00054995
                     19,                0.13213,                0.91837,                      1,                0.34319,             0.00053084,             0.00053084,             0.00053084
                     20,                0.09775,                0.83673,                      1,                0.36429,             0.00051105,             0.00051105,             0.00051105
                     21,                0.08299,                0.79592,                      1,                0.37282,             0.00049068,             0.00049068,             0.00049068
                     22,                0.08345,                0.85714,                      1,                0.36135,             0.00046979,             0.00046979,             0.00046979
                     23,                0.10225,                0.83673,                      1,                0.37653,             0.00044846,             0.00044846,             0.00044846
                     24,                0.10758,                0.81633,                      1,                 0.3923,              0.0004268,              0.0004268,              0.0004268
                     25,                0.09001,                0.83673,                      1,                0.38246,             0.00040487,             0.00040487,             0.00040487
                     26,                 0.0637,                0.83673,                      1,                0.37203,             0.00038276,             0.00038276,             0.00038276
                     27,                0.06126,                0.85714,                      1,                0.36397,             0.00036057,             0.00036057,             0.00036057
                     28,                0.09036,                0.85714,                      1,                0.37937,             0.00033838,             0.00033838,             0.00033838
                     29,                0.06297,                0.91837,                      1,                0.34569,             0.00031627,             0.00031627,             0.00031627
                     30,                0.07654,                0.91837,                      1,                0.33679,             0.00029434,             0.00029434,             0.00029434
                     31,                0.05717,                0.89796,                      1,                0.34733,             0.00027268,             0.00027268,             0.00027268
                     32,                0.07048,                0.91837,                      1,                0.34419,             0.00025135,             0.00025135,             0.00025135
                     33,                0.05266,                0.89796,                      1,                0.34625,             0.00023046,             0.00023046,             0.00023046
                     34,                  0.058,                0.89796,                      1,                 0.3521,             0.00021009,             0.00021009,             0.00021009
                     35,                0.05653,                0.87755,                      1,                0.35823,              0.0001903,              0.0001903,              0.0001903
                     36,                0.07457,                0.85714,                      1,                0.36032,             0.00017119,             0.00017119,             0.00017119
                     37,                 0.0818,                0.87755,                      1,                0.36014,             0.00015283,             0.00015283,             0.00015283
                     38,                0.05503,                0.85714,                      1,                0.35555,             0.00013529,             0.00013529,             0.00013529
                     39,                0.06151,                0.83673,                      1,                0.35782,             0.00011863,             0.00011863,             0.00011863
